negatives
"frozenset({'P62995', 'Alpha6Beta4Integrin', 'O75531'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IWL3', 'P15289'})"
"frozenset({'P22681', 'Q9UM47', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y272', 'Q6PEX3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13043', 'P00519', 'Alpha6Beta4Integrin'})"
"frozenset({'P49207', 'Q9Y3U8', 'Alpha6Beta4Integrin'})"
"frozenset({'P60410', 'Alpha6Beta4Integrin', 'P62857'})"
"frozenset({'Q8IZI9', 'Q02556', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NRM0', 'Alpha6Beta4Integrin', 'P41235'})"
"frozenset({'P62979', 'Alpha6Beta4Integrin', 'Q13077'})"
"frozenset({'Q9H8E8', 'Alpha6Beta4Integrin', 'Q9Y2G2'})"
"frozenset({'Q8WXA9', 'P62314', 'Alpha6Beta4Integrin'})"
"frozenset({'P50749', 'Alpha6Beta4Integrin', 'P01116'})"
"frozenset({'P29597', 'Alpha6Beta4Integrin', 'Q8TAD2'})"
"frozenset({'P00533', 'Alpha6Beta4Integrin', 'Q13685'})"
"frozenset({'P08514', 'Alpha6Beta4Integrin', 'P16671'})"
"frozenset({'P50281', 'Alpha6Beta4Integrin', 'P16035'})"
"frozenset({'Q13123', 'P98175', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O15067', 'Q9H173'})"
"frozenset({'Q9BRA2', 'O43396', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BXS5', 'Alpha6Beta4Integrin', 'Q59EK9'})"
"frozenset({'Q5VTR2', 'Alpha6Beta4Integrin', 'P54368'})"
"frozenset({'O43741', 'Q9H869', 'Alpha6Beta4Integrin'})"
"frozenset({'P14373', 'Q15907', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13310', 'Alpha6Beta4Integrin', 'P50616'})"
"frozenset({'Q9BUN8', 'Q13936', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14833', 'Alpha6Beta4Integrin', 'O95467'})"
"frozenset({'Q05519', 'Q5T013', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z417', 'Q6L8H1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UHA4', 'Q9UL25', 'Alpha6Beta4Integrin'})"
"frozenset({'P80075', 'P51677', 'Alpha6Beta4Integrin'})"
"frozenset({'P12755', 'P28347', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UN79', 'Alpha6Beta4Integrin', 'Q96SQ5'})"
"frozenset({'O15264', 'Alpha6Beta4Integrin', 'P00558'})"
"frozenset({'P13639', 'Alpha6Beta4Integrin', 'P42568'})"
"frozenset({'Q9BVJ6', 'P55769', 'Alpha6Beta4Integrin'})"
"frozenset({'P52565', 'Q99643', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13573', 'Alpha6Beta4Integrin', 'O95347'})"
"frozenset({'P54132', 'Alpha6Beta4Integrin', 'P24941'})"
"frozenset({'Alpha6Beta4Integrin', 'P38936', 'Q13724'})"
"frozenset({'Q96C55', 'Q9H869', 'Alpha6Beta4Integrin'})"
"frozenset({'P50750', 'Alpha6Beta4Integrin', 'Q8IVW6'})"
"frozenset({'Q9H4F8', 'Q15165', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BRT2', 'O14965', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9GZM7', 'Q9BRS2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y2X0', 'Q96RN5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IV61', 'Alpha6Beta4Integrin', 'P01116'})"
"frozenset({'P06401', 'Alpha6Beta4Integrin', 'P78317'})"
"frozenset({'Q9NZM5', 'P19784', 'Alpha6Beta4Integrin'})"
"frozenset({'P52888', 'Q8N584', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BUZ4', 'P36897', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86UE4', 'O95166'})"
"frozenset({'Q9BUL8', 'P18206', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UQE7', 'Q99689', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBU9', 'Q76FK4', 'Alpha6Beta4Integrin'})"
"frozenset({'P34897', 'Alpha6Beta4Integrin', 'Q7Z4S6'})"
"frozenset({'P15880', 'P27635', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6ZU80', 'Q8WX93', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3L5', 'Alpha6Beta4Integrin', 'P62820'})"
"frozenset({'P56182', 'P68371', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H1A4', 'Q9P2B7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15436', 'O00469'})"
"frozenset({'P46379', 'Q8N726', 'Alpha6Beta4Integrin'})"
"frozenset({'O75398', 'Alpha6Beta4Integrin', 'P36873'})"
"frozenset({'Q13191', 'P62736', 'Alpha6Beta4Integrin'})"
"frozenset({'P17301', 'P98160', 'Alpha6Beta4Integrin'})"
"frozenset({'P00519', 'Alpha6Beta4Integrin', 'Q7Z408'})"
"frozenset({'Q03405', 'Q6PI48', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15637', 'P19784', 'Alpha6Beta4Integrin'})"
"frozenset({'P23297', 'Q02790', 'Alpha6Beta4Integrin'})"
"frozenset({'P08708', 'Alpha6Beta4Integrin', 'P46778'})"
"frozenset({'Q99543', 'Alpha6Beta4Integrin', 'Q96EQ0'})"
"frozenset({'P30273', 'Alpha6Beta4Integrin', 'P42338'})"
"frozenset({'Q8TAX7', 'Alpha6Beta4Integrin', 'P02808'})"
"frozenset({'Q16851', 'P04629', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H204', 'Q15648', 'Alpha6Beta4Integrin'})"
"frozenset({'O43847', 'Q9H6K4', 'Alpha6Beta4Integrin'})"
"frozenset({'O95793', 'O15226', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7L190', 'Alpha6Beta4Integrin', 'Q8N680'})"
"frozenset({'P56589', 'Alpha6Beta4Integrin', 'Q8N4Q1'})"
"frozenset({'P06733', 'Q9NRF9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6P3S6', 'Q7L5N1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00653', 'P30154', 'Alpha6Beta4Integrin'})"
"frozenset({'P55209', 'Alpha6Beta4Integrin', 'Q02878'})"
"frozenset({'P24863', 'Alpha6Beta4Integrin', 'Q13315'})"
"frozenset({'Q9HBE5', 'Q8WXH5', 'Alpha6Beta4Integrin'})"
"frozenset({'P09016', 'Alpha6Beta4Integrin', 'P43268'})"
"frozenset({'P15923', 'Alpha6Beta4Integrin', 'Q06455'})"
"frozenset({'Q13287', 'Q92793', 'Alpha6Beta4Integrin'})"
"frozenset({'P57078', 'Q13489', 'Alpha6Beta4Integrin'})"
"frozenset({'P23528', 'Alpha6Beta4Integrin', 'Q9Y2Z0'})"
"frozenset({'P05783', 'Q96PM5', 'Alpha6Beta4Integrin'})"
"frozenset({'P0C870', 'Q8TDS5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IY92', 'Q6IQ49', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01804', 'Alpha6Beta4Integrin', 'Q13077'})"
"frozenset({'O43524', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92995', 'Alpha6Beta4Integrin', 'P54277'})"
"frozenset({'P61981', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'P62854', 'Alpha6Beta4Integrin', 'P98175'})"
"frozenset({'P43146', 'P16885', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96KQ4', 'Alpha6Beta4Integrin', 'Q9HAQ2'})"
"frozenset({'P68431', 'Q15723', 'Alpha6Beta4Integrin'})"
"frozenset({'P04350', 'P25445', 'Alpha6Beta4Integrin'})"
"frozenset({'Q0VGL1', 'Q9Y5K8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBU9', 'A6NHJ4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H871', 'P13385', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q3LI66', 'O14633'})"
"frozenset({'Q86VQ0', 'Alpha6Beta4Integrin', 'Q9UMX1'})"
"frozenset({'Q8IXZ2', 'Alpha6Beta4Integrin', 'P49406'})"
"frozenset({'Q8IXK0', 'Alpha6Beta4Integrin', 'Q9UN30'})"
"frozenset({'P62714', 'Q07002', 'Alpha6Beta4Integrin'})"
"frozenset({'P40225', 'Alpha6Beta4Integrin', 'P15509'})"
"frozenset({'Q14966', 'Alpha6Beta4Integrin', 'Q15910'})"
"frozenset({'Q15013', 'Alpha6Beta4Integrin', 'Q92993'})"
"frozenset({'P41220', 'Q9Y262', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P41218', 'Q9NX24'})"
"frozenset({'P62873', 'Q8NGN1', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P31150', 'Q9UI14'})"
"frozenset({'P09497', 'Q9UM54', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13573', 'O75934', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O75533', 'P49736'})"
"frozenset({'Q14943', 'Alpha6Beta4Integrin', 'O60437'})"
"frozenset({'P41235', 'Alpha6Beta4Integrin', 'Q9H6P5'})"
"frozenset({'Q8WTR4', 'Alpha6Beta4Integrin', 'O15162'})"
"frozenset({'P62140', 'P04629', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00839', 'P62910', 'Alpha6Beta4Integrin'})"
"frozenset({'P05067', 'Q13435', 'Alpha6Beta4Integrin'})"
"frozenset({'P56645', 'Alpha6Beta4Integrin', 'P35711'})"
"frozenset({'O00541', 'Q08050', 'Alpha6Beta4Integrin'})"
"frozenset({'P36888', 'P27986', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BRK4', 'P46940', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96GD4', 'Alpha6Beta4Integrin', 'Q9P2N7'})"
"frozenset({'P11182', 'Q9Y4J8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q53HL2', 'Q16555', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13291', 'Alpha6Beta4Integrin', 'Q9BX95'})"
"frozenset({'Q14247', 'P21333', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6P1W5', 'Alpha6Beta4Integrin', 'P07947'})"
"frozenset({'Q8N2M8', 'Q15038', 'Alpha6Beta4Integrin'})"
"frozenset({'P61088', 'Alpha6Beta4Integrin', 'Q92993'})"
"frozenset({'Alpha6Beta4Integrin', 'P78352', 'Q9P0K1'})"
"frozenset({'Q14515', 'P04156', 'Alpha6Beta4Integrin'})"
"frozenset({'P06737', 'Alpha6Beta4Integrin', 'Q15813'})"
"frozenset({'P02655', 'P06858', 'Alpha6Beta4Integrin'})"
"frozenset({'P08218', 'Q8IZ73', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y232', 'Alpha6Beta4Integrin', 'O95785'})"
"frozenset({'Q12906', 'P62263', 'Alpha6Beta4Integrin'})"
"frozenset({'P05412', 'Alpha6Beta4Integrin', 'P19404'})"
"frozenset({'P63252', 'Alpha6Beta4Integrin', 'P25101'})"
"frozenset({'Q6QHK4', 'P15172', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2C0', 'Alpha6Beta4Integrin', 'Q9BQA1'})"
"frozenset({'Q13415', 'Alpha6Beta4Integrin', 'P24941'})"
"frozenset({'Q13277', 'Alpha6Beta4Integrin', 'Q9UHD2'})"
"frozenset({'P05067', 'P04040', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96EP5', 'Alpha6Beta4Integrin', 'P15927'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96GN5', 'Q15910'})"
"frozenset({'Q01130', 'P19338', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13491', 'O00165', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12874', 'Alpha6Beta4Integrin', 'P31942'})"
"frozenset({'P35222', 'P52272', 'Alpha6Beta4Integrin'})"
"frozenset({'O60462', 'P54709', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y6E0', 'Alpha6Beta4Integrin', 'Q8IWL3'})"
"frozenset({'Q12931', 'Alpha6Beta4Integrin', 'P43686'})"
"frozenset({'Q9NRD5', 'O14613', 'Alpha6Beta4Integrin'})"
"frozenset({'P01375', 'Alpha6Beta4Integrin', 'P07948'})"
"frozenset({'Alpha6Beta4Integrin', 'P35226', 'Q92785'})"
"frozenset({'Q9Y2I6', 'Alpha6Beta4Integrin', 'Q9NZM3'})"
"frozenset({'P17947', 'P04839', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01668', 'P22612', 'Alpha6Beta4Integrin'})"
"frozenset({'O15165', 'Alpha6Beta4Integrin', 'Q6ZT12'})"
"frozenset({'O76000', 'Alpha6Beta4Integrin', 'P22694'})"
"frozenset({'Q13137', 'Alpha6Beta4Integrin', 'Q9UMS0'})"
"frozenset({'O95503', 'P67809', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y6G9', 'P04629', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13875', 'P60370'})"
"frozenset({'O75530', 'Alpha6Beta4Integrin', 'Q96KQ7'})"
"frozenset({'P07550', 'P13645', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P2B2', 'Alpha6Beta4Integrin', 'P48509'})"
"frozenset({'P08648', 'Alpha6Beta4Integrin', 'Q14055'})"
"frozenset({'P05015', 'Alpha6Beta4Integrin', 'P31785'})"
"frozenset({'Q9UKD2', 'O00567', 'Alpha6Beta4Integrin'})"
"frozenset({'P60033', 'Q969P0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99755', 'O14786', 'Alpha6Beta4Integrin'})"
"frozenset({'P32881', 'P10912', 'Alpha6Beta4Integrin'})"
"frozenset({'P55072', 'P01912', 'Alpha6Beta4Integrin'})"
"frozenset({'P07437', 'Alpha6Beta4Integrin', 'P01730'})"
"frozenset({'Alpha6Beta4Integrin', 'P23760', 'Q13547'})"
"frozenset({'Q9NP79', 'Alpha6Beta4Integrin', 'P09622'})"
"frozenset({'Q5TH69', 'P01270', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N4E4', 'Alpha6Beta4Integrin', 'Q96LC9'})"
"frozenset({'O14744', 'P0C0S5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q04917', 'Alpha6Beta4Integrin', 'O15078'})"
"frozenset({'P43657', 'Alpha6Beta4Integrin', 'O14610'})"
"frozenset({'P20336', 'Alpha6Beta4Integrin', 'Q9UI14'})"
"frozenset({'Q96F63', 'P78362', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y6G9', 'Alpha6Beta4Integrin', 'Q14203'})"
"frozenset({'Q9Y5B8', 'Q9BWT7', 'Alpha6Beta4Integrin'})"
"frozenset({'P19387', 'Q6PD62', 'Alpha6Beta4Integrin'})"
"frozenset({'P13984', 'Q00403', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16695', 'P16455', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BY77', 'P09651'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99853', 'P25490'})"
"frozenset({'P67775', 'O60925', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3M2', 'Q8IVT5', 'Alpha6Beta4Integrin'})"
"frozenset({'P30304', 'P02794', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NY12', 'Alpha6Beta4Integrin', 'O75446'})"
"frozenset({'Q03989', 'Alpha6Beta4Integrin', 'Q8WW01'})"
"frozenset({'P11940', 'Q9HCK5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q93009', 'P12955', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4E5', 'Alpha6Beta4Integrin', 'O75150'})"
"frozenset({'P46782', 'Alpha6Beta4Integrin', 'P46776'})"
"frozenset({'P45452', 'Alpha6Beta4Integrin', 'P17676'})"
"frozenset({'P31948', 'Q70CQ1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IWL3', 'Alpha6Beta4Integrin', 'Q9UKF6'})"
"frozenset({'Q08379', 'Alpha6Beta4Integrin', 'Q13895'})"
"frozenset({'Alpha6Beta4Integrin', 'P02679', 'P05154'})"
"frozenset({'Q06187', 'Alpha6Beta4Integrin', 'P42768'})"
"frozenset({'O75369', 'Q5T4S7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P127', 'O14974', 'Alpha6Beta4Integrin'})"
"frozenset({'P11712', 'Alpha6Beta4Integrin', 'Q16543'})"
"frozenset({'Q969W9', 'Q9BTE1', 'Alpha6Beta4Integrin'})"
"frozenset({'P60900', 'P50990', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P50406', 'O95467'})"
"frozenset({'Q5TC82', 'P17980', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14192', 'Alpha6Beta4Integrin', 'Q9UBR4'})"
"frozenset({'Alpha6Beta4Integrin', 'P02679', 'Q5VWX1'})"
"frozenset({'Q14999', 'Alpha6Beta4Integrin', 'P28482'})"
"frozenset({'Q9NNW5', 'Q13418', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y5P6', 'O14618', 'Alpha6Beta4Integrin'})"
"frozenset({'P78527', 'Alpha6Beta4Integrin', 'O95166'})"
"frozenset({'Q09472', 'Q9NZF1', 'Alpha6Beta4Integrin'})"
"frozenset({'P40818', 'P10451', 'Alpha6Beta4Integrin'})"
"frozenset({'P55196', 'P68032', 'Alpha6Beta4Integrin'})"
"frozenset({'P78318', 'Alpha6Beta4Integrin', 'Q04760'})"
"frozenset({'Q96P70', 'Alpha6Beta4Integrin', 'P27105'})"
"frozenset({'Q9BQ67', 'Q9UNQ2', 'Alpha6Beta4Integrin'})"
"frozenset({'O60260', 'Alpha6Beta4Integrin', 'O14867'})"
"frozenset({'Q16653', 'P04156', 'Alpha6Beta4Integrin'})"
"frozenset({'A8MQ03', 'Q9BYQ6', 'Alpha6Beta4Integrin'})"
"frozenset({'P16989', 'Alpha6Beta4Integrin', 'P24941'})"
"frozenset({'Q96ST8', 'Alpha6Beta4Integrin', 'Q99871'})"
"frozenset({'P06748', 'Q96L21', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15788', 'P26373', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BWF3', 'Q08211'})"
"frozenset({'O43242', 'Q05086', 'Alpha6Beta4Integrin'})"
"frozenset({'P54274', 'Q9BXW9', 'Alpha6Beta4Integrin'})"
"frozenset({'O14763', 'Q9H6L2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P0U4', 'O15047', 'Alpha6Beta4Integrin'})"
"frozenset({'P01112', 'Alpha6Beta4Integrin', 'Q3MIN7'})"
"frozenset({'P53611', 'Q9UJC3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H9D4', 'Q8WV44', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H0F6', 'Q9BYM8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BV99', 'Alpha6Beta4Integrin', 'Q9HCE1'})"
"frozenset({'Q9H0R3', 'Alpha6Beta4Integrin', 'Q9HCE1'})"
"frozenset({'Q9UNX4', 'Q96P11', 'Alpha6Beta4Integrin'})"
"frozenset({'O95817', 'Alpha6Beta4Integrin', 'Q9BXJ2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q2TAC2', 'P35236'})"
"frozenset({'P49407', 'Alpha6Beta4Integrin', 'Q8TCB6'})"
"frozenset({'Q5HYK3', 'Alpha6Beta4Integrin', 'O76031'})"
"frozenset({'Alpha6Beta4Integrin', 'P02671', 'Q5VWX1'})"
"frozenset({'O60216', 'Q8IYB3', 'Alpha6Beta4Integrin'})"
"frozenset({'O43482', 'Q92764', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBU9', 'Alpha6Beta4Integrin', 'Q9NPJ8'})"
"frozenset({'O95394', 'Q15124', 'Alpha6Beta4Integrin'})"
"frozenset({'O76003', 'O76081', 'Alpha6Beta4Integrin'})"
"frozenset({'A8MQ03', 'Alpha6Beta4Integrin', 'P08311'})"
"frozenset({'Alpha6Beta4Integrin', 'P19086', 'O00167'})"
"frozenset({'P04637', 'Alpha6Beta4Integrin', 'P62851'})"
"frozenset({'Q08174', 'Alpha6Beta4Integrin', 'P02768'})"
"frozenset({'Alpha6Beta4Integrin', 'O43463', 'Q99717'})"
"frozenset({'P61978', 'Alpha6Beta4Integrin', 'Q9NYB9'})"
"frozenset({'O60739', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q9H1I8', 'P55789', 'Alpha6Beta4Integrin'})"
"frozenset({'P46777', 'P08865', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P27361', 'Q96GG9'})"
"frozenset({'Q8NHP6', 'Q86Y82', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9HAV0', 'Alpha6Beta4Integrin', 'P08172'})"
"frozenset({'O60341', 'Q02363', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12905', 'Q92900', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01813', 'Q9Y6B2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96MY7', 'Alpha6Beta4Integrin', 'Q9BZW7'})"
"frozenset({'Q2KJY2', 'Q12933', 'Alpha6Beta4Integrin'})"
"frozenset({'P11387', 'Alpha6Beta4Integrin', 'Q08211'})"
"frozenset({'P69905', 'Alpha6Beta4Integrin', 'P02647'})"
"frozenset({'P63279', 'Alpha6Beta4Integrin', 'Q92753'})"
"frozenset({'O43865', 'Q04323', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P28065', 'P28074'})"
"frozenset({'P35232', 'Alpha6Beta4Integrin', 'O75964'})"
"frozenset({'P28749', 'P35232', 'Alpha6Beta4Integrin'})"
"frozenset({'P18615', 'Q9Y2L1', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96S82', 'P04745'})"
"frozenset({'Q13303', 'Alpha6Beta4Integrin', 'P31939'})"
"frozenset({'Q9BVL2', 'P52948', 'Alpha6Beta4Integrin'})"
"frozenset({'Q09028', 'Alpha6Beta4Integrin', 'Q9UK53'})"
"frozenset({'Q92736', 'Alpha6Beta4Integrin', 'Q06190'})"
"frozenset({'Alpha6Beta4Integrin', 'O00506', 'Q9P289'})"
"frozenset({'P07384', 'P12955', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BW19', 'Q14974'})"
"frozenset({'P35222', 'Alpha6Beta4Integrin', 'P51636'})"
"frozenset({'Q01082', 'Q13618', 'Alpha6Beta4Integrin'})"
"frozenset({'O95831', 'P51617', 'Alpha6Beta4Integrin'})"
"frozenset({'P84996', 'Q99459', 'Alpha6Beta4Integrin'})"
"frozenset({'P13010', 'O95816', 'Alpha6Beta4Integrin'})"
"frozenset({'P00533', 'Q9H4M9', 'Alpha6Beta4Integrin'})"
"frozenset({'P07550', 'P54709', 'Alpha6Beta4Integrin'})"
"frozenset({'Q52LA3', 'Alpha6Beta4Integrin', 'P43360'})"
"frozenset({'P48065', 'Alpha6Beta4Integrin', 'Q96RT1'})"
"frozenset({'Q14525', 'Alpha6Beta4Integrin', 'Q9NYB9'})"
"frozenset({'Q9P287', 'P12955', 'Alpha6Beta4Integrin'})"
"frozenset({'O95292', 'Alpha6Beta4Integrin', 'P04626'})"
"frozenset({'O14744', 'Q7Z333', 'Alpha6Beta4Integrin'})"
"frozenset({'P20226', 'Q92759', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01094', 'P09382', 'Alpha6Beta4Integrin'})"
"frozenset({'O95714', 'O15062', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15843', 'Q16762', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TEC5', 'Alpha6Beta4Integrin', 'P36873'})"
"frozenset({'P08579', 'Q9NRG4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15120', 'P50990', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NWU2', 'P48431', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P2D0', 'Alpha6Beta4Integrin', 'Q9H0A0'})"
"frozenset({'Q14999', 'Q96PK6', 'Alpha6Beta4Integrin'})"
"frozenset({'O95503', 'Alpha6Beta4Integrin', 'Q63HN8'})"
"frozenset({'Q9NRG1', 'Alpha6Beta4Integrin', 'Q9NUH8'})"
"frozenset({'P84095', 'Alpha6Beta4Integrin', 'Q8IWL3'})"
"frozenset({'Q9UK17', 'Alpha6Beta4Integrin', 'P27487'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N2K1', 'P98170'})"
"frozenset({'P61158', 'Alpha6Beta4Integrin', 'Q99714'})"
"frozenset({'Q92905', 'P23246', 'Alpha6Beta4Integrin'})"
"frozenset({'P59768', 'Q96PN6', 'Alpha6Beta4Integrin'})"
"frozenset({'P23467', 'Alpha6Beta4Integrin', 'P21246'})"
"frozenset({'Q29983', 'Alpha6Beta4Integrin', 'Q9BWX1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6PIV2', 'Q9NXR8'})"
"frozenset({'Q8TED0', 'Q13618', 'Alpha6Beta4Integrin'})"
"frozenset({'P60484', 'P68400', 'Alpha6Beta4Integrin'})"
"frozenset({'O75717', 'Alpha6Beta4Integrin', 'Q6ZW49'})"
"frozenset({'P63279', 'Q9P1U0', 'Alpha6Beta4Integrin'})"
"frozenset({'P47914', 'P62753', 'Alpha6Beta4Integrin'})"
"frozenset({'P49407', 'Q8NG78', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y2V7', 'Alpha6Beta4Integrin', 'P55081'})"
"frozenset({'Q01094', 'Q01892', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UNY4', 'Alpha6Beta4Integrin', 'Q8N960'})"
"frozenset({'Q9NY12', 'Alpha6Beta4Integrin', 'Q2NL82'})"
"frozenset({'Q9NX70', 'Q9H668', 'Alpha6Beta4Integrin'})"
"frozenset({'P62753', 'Alpha6Beta4Integrin', 'O75147'})"
"frozenset({'Q8IWU2', 'Q00535', 'Alpha6Beta4Integrin'})"
"frozenset({'P05388', 'Alpha6Beta4Integrin', 'P49736'})"
"frozenset({'Q9Y2X0', 'Alpha6Beta4Integrin', 'P41235'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13535', 'Q96RU2'})"
"frozenset({'Q9NSK0', 'Q9UHX1', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O75874', 'Q15717'})"
"frozenset({'P18859', 'Alpha6Beta4Integrin', 'Q9UHD2'})"
"frozenset({'Q9UF02', 'P30154', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P0N5', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q02833', 'Alpha6Beta4Integrin', 'O43639'})"
"frozenset({'Alpha6Beta4Integrin', 'P36954', 'P62875'})"
"frozenset({'Q9P0K8', 'Alpha6Beta4Integrin', 'Q15853'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6P1Q0', 'Q9HCE1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96B36', 'Q15560'})"
"frozenset({'Q14247', 'Alpha6Beta4Integrin', 'Q96AP0'})"
"frozenset({'Q96IW7', 'Q8N205', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16666', 'O43290', 'Alpha6Beta4Integrin'})"
